DISTRICT,CODE,NEIGHBORHOOD,BOUNDRIES,
1,1A,Central Richmond,"South of California, Park Presidio, south of Fulton, west fo 32nd Avenue",
1,1B,Inner Richmond,"South of California, Arguello, south of Fulton, Park Presidio",
1,1C,Jordan Park/Laurel Heights,"California, west of Presidio, Geary, Arguello",
1,1D,Lake --The Presidio,"West and south of Presidio Terrace, Arguello, south of California, west of 27th  Avenue",
1,1E,Outer Richmond ,"The Ocean, west of 32nd Avenue, south of Fulton",
1,1F,Sea Cliff,"The Ocean, south of El Camino del Mar, west of 27th Avenue, south of California, west of 32nd Avenue",
1,1G,Lone Mountain,"Geary, Masonic, south of Fulton, Arguello",
2,2A,Golden Gate Heights,"North of Lawton, east of Funston, north of Noriega, east of 11th Avenue, south of Ortega, east of 9th Avenue, north of Mendosa, east of Gateview, north of San Marcos , west of 12th  Anenue, Taraval, west of 14th Avenue, north of Quintara, west on 16th Avuenue",
2,2B,Outer Parkside,"South of Ortega, Sunset, south of Sloat, The Ocean",
2,2C,Outer Sunset,"Lincoln Way, Sunset, south of Ortega, The Ocean",
2,2D,Parkside,"South of Ortega, 19th Avenue, Wawona, Sunset",
2,2E,Central Sunset,"Lincoln Way, 19th Avenue, south of Ortega, Sunset",
2,2F,Inner Sunset,"Lincoln Way, east of Arguello, south of Kirkham, including 5th Avenue cul-de-sac and 6th Avenue to end, east of 7th Avenue, south of Ortega, Golden Gate Heights boundary, 19th Avenue",
2,2G,Inner Parkside,"South of Ortega, west of 16th Avenue, north of Quintara, east of 15th Avenue, south of Wawona,19th Avenue",
3,3A,Lake Shore,"South of Sloat to Sunset, then Sloat, west of 26th Avenue, south of Eucalyptus, 19th Avenue, east of Gellert, East of Lake  Merced, south of Brotherhood Way, Junipero Serra, San Francisco County line, The Ocean ",
3,3B,Merced Heights,"South of Holloway, east of Ashton, south of Shields, Junipero Serra",
3,3C,Pine Lake Park,"Wawona, 19th Avenue, Sloat, Sunset",
3,3D,Stonestown,"South of Eucalyptus, 19th Avenue, south of Brotherhood Way, east of Lake Merced",
3,3E,Lakeside,"Sloat, Junipero Serra, 19th Avenue",
3,3F,Merced Manor,"Sloat, 19th Avenue, south of Eucalyptus, west of 26th Avenue",
3,3G,Ingleside Heights,"South of Shields, east of Orizaba, 280, San Francisco boundary, Junipero Serra",
3,3H,Ingleside ,"Ocean (to Miramar), norht of Ocean, 280, Geneva, San Jose, south of Lakeview, east of Ashton",
3,3J,Oceanview,"South of Lakeview, 280, east of Orizaba",
4,4A,Balboa Terrace,"Monterey from 2199 to 1627, south of Monterey from 1625 to 1470, east of San Aleso, south of Upland, east of Aptos, Ocean, Junipero Serra",
4,4B,Diamond Heights,"Portola, north and east and south of Damond Heights, east of O'Shaughnessy",
4,4C,Forest Hill,"South of Ortega, east of Laguna Honda, Dewey, Taraval, west of 12th Avenue, north of San Marcos, east of Gateview, north of Mendosa, west of 9th Avenue (to Pacheco), east of 9th Avenue to Ortega",
4,4D,Forest Knolls,"UC Med Center, Clarendon, east of 7th Avenue",
4,4E,Ingleside Terrace,"Ocean , east of Ashton, south of Holloway, Junipero Serra",
4,4F,Midtown Terrace,"South of Palo Alto, west of Twin Peaks to Midcrest, north of Twin Peaks to Burnett, Portola, Wooside, Laguna Honda, Clarendon",
4,4G,St. Francis Wood,"Portola, east of San Pablo, east of San Jacinto up to #36 & #27, west of San Jacinto thereafter, south of Monterey from 1470 to 1625, Monterey from 1627 to 2199",
