,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
720,2014,94110,418.0,0.06226785722098027,242810.0
719,2013,94110,399.0,0.09284891253938432,228577.0
671,2013,94103,396.0,0.06847560717460954,302853.0
718,2012,94110,369.0,0.10493201052331291,209157.0
695,2013,94107,361.0,0.11852349185034927,313200.0
776,2014,94118,352.0,0.05244355928190414,302266.0
712,2014,94109,328.0,0.040266653199333424,257479.0
672,2014,94103,327.0,0.019781874374696695,308844.0
670,2012,94103,325.0,0.03070545454545459,283444.0
696,2014,94107,324.0,0.031363346104725354,323023.0
744,2014,94114,322.0,0.039097457004262814,353449.0
717,2011,94110,320.0,0.03908351356395534,189294.0
664,2014,94102,313.0,0.00944478655643377,269654.5
803,2014,94122,301.0,0.072938988112625,229573.0
795,2014,94121,276.0,0.055218374892374245,250015.0
680,2014,94104,274.0,-0.5085942856215593,121132.0
768,2014,94117,267.0,0.05152326322498402,329968.0
811,2014,94123,265.0,0.0433341486943688,379614.0
875,2014,94133,264.0,0.042154169634076144,307300.0
736,2014,94112,263.0,0.05413067119588466,172538.0
760,2014,94116,255.0,0.050854487354718314,222964.0
867,2014,94132,255.0,0.10754956992286879,219410.0
694,2012,94107,251.0,0.05267669172932332,280012.0
716,2010,94110,250.0,0.021400898198556728,182174.0
669,2011,94103,247.0,-0.04888061895390705,275000.0
727,2013,94111,247.0,0.2696548552455946,339573.0
752,2014,94115,239.0,0.0512754949033869,333022.0
663,2013,94102,231.0,0.04098973941304607,267131.5
677,2011,94104,223.0,-0.016468808064175167,441994.0
711,2013,94109,222.0,0.0816861214661242,247512.5
662,2012,94102,221.0,0.04808874403179231,256613.0
688,2014,94105,211.0,0.04542280485430594,402723.0
693,2011,94107,207.0,-0.08591065292096223,266000.0
667,2009,94103,206.0,0.021790061831766128,253829.0
725,2011,94111,206.0,-0.27445556633385715,256920.0
715,2009,94110,205.0,0.08108910831075478,178357.0
679,2013,94104,204.0,-0.4761127511301254,246501.0
728,2014,94111,204.0,0.16617045524820884,396000.0
802,2013,94122,203.0,0.058244720312577325,213966.5
704,2014,94108,202.0,0.15933620258652326,331594.5
818,2013,94124,200.0,0.10823351208301424,127305.0
692,2010,94107,200.0,-0.013139488155130441,291000.0
710,2012,94109,200.0,0.06866275295513247,228821.0
751,2013,94115,199.0,0.055930000000000035,316779.0
686,2012,94105,196.0,0.1125815764377518,342412.0
703,2013,94108,194.0,0.06596576488608785,286021.0
819,2014,94124,192.0,0.022976316719689027,130230.0
775,2013,94118,190.0,0.07383242913814181,287204.0
873,2012,94133,188.0,0.03860896362603117,272316.0
678,2012,94104,187.0,0.06454612506052126,470523.0
742,2012,94114,180.0,0.07094735926157725,319998.0
724,2010,94111,180.0,0.10045123577069015,354106.5
714,2008,94110,179.0,0.08857869611261959,164979.0
690,2008,94107,179.0,0.0968997478881477,280412.0
726,2012,94111,179.0,0.04099719757122844,267453.0
709,2011,94109,178.0,0.04475813141022522,214119.0
743,2013,94114,177.0,0.06297539359621007,340150.0
698,2008,94108,175.0,0.0682754121532545,235801.5
668,2010,94103,174.0,0.13908576246213,289133.0
816,2011,94124,171.0,0.038871815071473304,113410.0
741,2011,94114,170.0,0.016328314600244642,298799.0
687,2013,94105,170.0,0.1250335852715443,385225.0
